LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
recfEJ2EDQrBifkiu,12/30/2025,37,8899,14299,55080,30,55080,0,-5400,5400,Arrears,0,0,0,0,First Payment Default,FPD,,11/23/2025,Y LOAN,,,0,7819,1080,11/30/2025,1/4/2026,,0,0,11/23/2025,8899,8899
recBPPI2eGQijDIuD,12/30/2025,545,67819,67819,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,7/3/2024,Y LOAN,,,0,7499,1160,7/2/2025,12/31/2025,,0,0,6/25/2025,8659,67819
rec36veF5qIHClaiH,12/30/2025,94,15949,31149,74100,66,74100,0,-15200,15200,Arrears,0,0,0,0,First Month Default without inventory over 30,FMD,,9/27/2025,Y LOAN,,,0,9449,1550,10/25/2025,1/3/2026,,0,0,10/25/2025,10999,15949
recnsF711g2I3vMB6,12/30/2025,640,46349,48139,1790,297,1790,0,-1790,1790,Arrears,0,0,0,0,Write Off,PAR 30,,3/30/2024,Y LOAN,,,0,5499,820,3/8/2025,1/3/2026,,0,0,12/29/2025,6319,46349
rec4xhO73srLI4Ts9,12/30/2025,186,32739,32739,24750,0,24750,0,0,0,up to date,0,0,0,0,Existing Active,Active,,6/27/2025,Y LOAN,,,0,6009,990,1/2/2026,1/2/2026,,0,0,12/26/2025,6999,32739
recgpGtn6TMuUaxsv,12/30/2025,21,31729,31389,92300,0,92300,340,340,0,advance,0,1930,0,0,New Active,Active,,12/9/2025,Y LOAN,,,0,23669,1930,1/6/2026,1/6/2026,,0,0,12/15/2025,25599,31729
recutjoTD85nzw94k,12/30/2025,523,27300,67819,40519,404,40519,0,-40519,40519,Arrears,0,0,0,0,Cancelled Returned past 3 mths,Return,00:00.0,7/25/2024,Y LOAN,,,0,7499,1160,11/21/2024,1/1/2026,,0,0,4/21/2025,8659,27300
rec3ew7uBKXJtDDYq,12/30/2025,260,13889,59109,63840,232,63840,0,-45220,45220,Arrears,0,0,0,0,First Month Default without inventory over 30,FMD,,4/14/2025,Y LOAN,,,0,8569,1330,5/12/2025,1/5/2026,,0,0,5/10/2025,9899,13889
rec48sH059ZY4yT1A,12/30/2025,481,5319,42039,36720,481,36720,0,-42039,42039,Arrears,0,0,0,0,First 2 days Return,Return,00:00.0,9/5/2024,Y LOAN,,,0,4599,720,9/5/2024,1/1/2026,,0,0,9/5/2024,5319,0
recv8Jg57kugvyx2k,12/30/2025,449,27199,64919,37720,323,37720,0,-37720,37720,Arrears,0,0,0,0,Write Off,PAR 30,,10/7/2024,Y LOAN,,,0,7199,1110,2/10/2025,1/5/2026,,0,0,4/13/2025,8309,27199
